trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae,test/mae,test/loss,test/r2,test/recon_loss,test/medae,test/age_loss
239,126,0.0,4.78e-05,4.78e-05,759.397567148,0.0,1778750676.381588,,,,,,,,,,,,,,,,,,,,
239,127,,,,760.068045556,,1778750677.0520315,4.0,0.029969101771712303,,,,,,,,,,,,,,,,,,
249,128,0.0,4.9800000000000004e-05,4.9800000000000004e-05,784.187791051,0.0,1778750701.1717708,,,,,,,,,,,,,,,,,,,,
249,129,0.0,4.9800000000000004e-05,4.9800000000000004e-05,784.857816119,0.0,1778750701.841843,,,,,,,,,,,,,,,,,,,,
249,130,0.0,4.9800000000000004e-05,4.9800000000000004e-05,785.52849051,0.0,1778750702.5124757,,,,,,,,,,,,,,,,,,,,
249,131,0.0,4.9800000000000004e-05,4.9800000000000004e-05,786.198878262,0.0,1778750703.1828837,,,,,,,,,,,,,,,,,,,,
249,132,,,,786.8694505,,1778750703.853459,4.0,0.022402673959732056,,,,,,,,,,,,,,,,,,
259,133,0.0,5.1800000000000005e-05,5.1800000000000005e-05,810.987881983,0.0,1778750727.9718513,,,,,,,,,,,,,,,,,,,,
259,134,0.0,5.1800000000000005e-05,5.1800000000000005e-05,811.658142353,0.0,1778750728.6421468,,,,,,,,,,,,,,,,,,,,
259,135,0.0,5.1800000000000005e-05,5.1800000000000005e-05,812.328831816,0.0,1778750729.3128157,,,,,,,,,,,,,,,,,,,,
259,136,0.0,5.1800000000000005e-05,5.1800000000000005e-05,812.999256282,0.0,1778750729.9834125,,,,,,,,,,,,,,,,,,,,
259,137,,,,813.669645855,,1778750730.653665,4.0,0.03391356021165848,,,,,,,,,,,,,,,,,,
269,138,0.0,5.380000000000001e-05,5.380000000000001e-05,837.787034363,0.0,1778750754.7709434,,,,,,,,,,,,,,,,,,,,
269,139,0.0,5.380000000000001e-05,5.380000000000001e-05,838.457209263,0.0,1778750755.4411776,,,,,,,,,,,,,,,,,,,,
269,140,0.0,5.380000000000001e-05,5.380000000000001e-05,839.127828511,0.0,1778750756.111827,,,,,,,,,,,,,,,,,,,,
269,141,0.0,5.380000000000001e-05,5.380000000000001e-05,839.798207367,0.0,1778750756.7821872,,,,,,,,,,,,,,,,,,,,
269,142,,,,840.468916229,,1778750757.4529355,4.0,0.03131171315908432,,,,,,,,,,,,,,,,,,
279,143,0.0,5.580000000000001e-05,5.580000000000001e-05,864.588213118,0.0,1778750781.5721502,,,,,,,,,,,,,,,,,,,,
279,144,0.0,5.580000000000001e-05,5.580000000000001e-05,865.258374587,0.0,1778750782.2423563,,,,,,,,,,,,,,,,,,,,
279,145,0.0,5.580000000000001e-05,5.580000000000001e-05,865.928912081,0.0,1778750782.912889,,,,,,,,,,,,,,,,,,,,
