split,label_age,model_mse,b1_mse,b3_mse,b4_mse
unknown,5.416666507720947,0.00504045,0.107258365,0.0049776053,0.011564559
unknown,9.166666984558105,0.004232667,0.10907214,0.0045461557,0.035488818
unknown,20.66666603088379,0.00419491,0.108948514,0.003921189,0.015413336
unknown,8.416666984558105,0.004215734,0.10983931,0.0041168085,0.02484484
unknown,14.25,0.0046669645,0.10846139,0.004594776,0.015176821
unknown,11.5,0.0045279823,0.10801447,0.004910642,0.023920637
unknown,12.416666984558105,0.004046961,0.1085324,0.004192813,0.022127477
unknown,7.5,0.0042440267,0.108126454,0.0054568904,0.017970465
unknown,17.33333396911621,0.004242818,0.10800685,0.0038904073,0.020650428
unknown,8.75,0.004801801,0.10518697,0.0046971664,0.025593664
unknown,8.166666984558105,0.004492632,0.10914804,0.005523102,0.019635312
unknown,12.25,0.0038013614,0.10838977,0.0034822451,0.018413017
unknown,7.666666507720947,0.0046738856,0.10816504,0.0042373887,0.02002282
unknown,16.5,0.0037875336,0.10746692,0.0046846955,0.015191186
unknown,7.333333492279053,0.0043168934,0.109578624,0.004605632,0.03539298
unknown,13.916666984558105,0.004347819,0.10769972,0.003934956,0.025625352
unknown,12.583333015441895,0.004442123,0.11068757,0.0048140865,0.0193905
unknown,11.75,0.0044201305,0.109410584,0.005078341,0.020032926
unknown,13.5,0.004508672,0.107806176,0.005168845,0.028178522
unknown,7.916666507720947,0.0043847533,0.109832875,0.005003974,0.03884985
unknown,9.5,0.004269555,0.108862564,0.004516007,0.017925257
unknown,6.833333492279053,0.0040350663,0.10989218,0.0039221696,0.027858203
unknown,6.666666507720947,0.004703712,0.109473936,0.005047214,0.029038873
unknown,10.75,0.005239788,0.10733474,0.005411184,0.016152022
unknown,5.916666507720947,0.0044015255,0.109606095,0.00511166,0.022648266
unknown,6.833333492279053,0.004542241,0.107648425,0.004904112,0.021481434
unknown,8.75,0.004419522,0.11162566,0.0065642954,0.031557683
unknown,12.416666984558105,0.0038250736,0.10783085,0.004601113,0.013478195
unknown,15.0,0.0043899026,0.10736212,0.00436127,0.035429265
unknown,21.91666603088379,0.0043021687,0.10879804,0.0043934295,0.03220865
unknown,8.0,0.00439562,0.10846396,0.0037769526,0.020243024
