trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae
139,73,,,,1356.631353007,,1780655893.8325062,2.0,0.10713182389736176,,,,,,,,,,,,
149,74,5.9600000000000005e-06,2.98e-05,2.98e-05,1439.257070211,5.9600000000000005e-06,1780655976.4581048,,,,,,,,,,,,,,
149,75,5.9600000000000005e-06,2.98e-05,2.98e-05,1441.546501318,5.9600000000000005e-06,1780655978.7477245,,,,,,,,,,,,,,
149,76,5.9600000000000005e-06,2.98e-05,2.98e-05,1443.833978905,5.9600000000000005e-06,1780655981.0353134,,,,,,,,,,,,,,
149,77,5.9600000000000005e-06,2.98e-05,2.98e-05,1446.122727073,5.9600000000000005e-06,1780655983.3238926,,,,,,,,,,,,,,
149,78,,,,1448.410438441,,1780655985.6116202,2.0,0.10508279502391815,,,,,,,,,,,,
159,79,6.360000000000001e-06,3.18e-05,3.18e-05,1530.755830985,6.360000000000001e-06,1780656067.9570408,,,,,,,,,,,,,,
159,80,6.360000000000001e-06,3.18e-05,3.18e-05,1533.046126679,6.360000000000001e-06,1780656070.2475162,,,,,,,,,,,,,,
159,81,6.360000000000001e-06,3.18e-05,3.18e-05,1535.333612846,6.360000000000001e-06,1780656072.534854,,,,,,,,,,,,,,
159,82,6.360000000000001e-06,3.18e-05,3.18e-05,1537.621873859,6.360000000000001e-06,1780656074.822993,,,,,,,,,,,,,,
159,83,,,,1539.909492665,,1780656077.1106553,2.0,0.1485874354839325,,,,,,,,,,,,
169,84,6.760000000000001e-06,3.38e-05,3.38e-05,1622.262404643,6.760000000000001e-06,1780656159.463655,,,,,,,,,,,,,,
169,85,6.760000000000001e-06,3.38e-05,3.38e-05,1624.55014544,6.760000000000001e-06,1780656161.7513795,,,,,,,,,,,,,,
169,86,6.760000000000001e-06,3.38e-05,3.38e-05,1626.838239429,6.760000000000001e-06,1780656164.0394008,,,,,,,,,,,,,,
169,87,6.760000000000001e-06,3.38e-05,3.38e-05,1629.125618973,6.760000000000001e-06,1780656166.3268428,,,,,,,,,,,,,,
169,88,,,,1631.412381318,,1780656168.613624,2.0,0.13220764696598053,,,,,,,,,,,,
170,89,,,,1663.975642886,,1780656201.176872,2.0,,0.13659721612930298,19.375,0.0,0.13659721612930298,22.16694450378418,0.007061958312988281,,,,,,
170,90,,,,1664.432955288,,1780656201.6340852,2.0,,,,,,,,0.0,0.1383601725101471,0.1383601725101471,22.42521095275879,-0.03592097759246826,19.16625213623047
179,91,7.16e-06,3.58e-05,3.58e-05,1738.219208705,7.16e-06,1780656275.420331,,,,,,,,,,,,,,
179,92,7.16e-06,3.58e-05,3.58e-05,1740.507938565,7.16e-06,1780656277.7091532,,,,,,,,,,,,,,
179,93,7.16e-06,3.58e-05,3.58e-05,1742.796955226,7.16e-06,1780656279.9981334,,,,,,,,,,,,,,
179,94,7.16e-06,3.58e-05,3.58e-05,1745.084968447,7.16e-06,1780656282.2861385,,,,,,,,,,,,,,
179,95,,,,1747.373031163,,1780656284.5741622,3.0,0.1305069774389267,,,,,,,,,,,,
189,96,7.5600000000000005e-06,3.7800000000000004e-05,3.7800000000000004e-05,1829.709876996,7.5600000000000005e-06,1780656366.9109995,,,,,,,,,,,,,,
189,97,7.5600000000000005e-06,3.7800000000000004e-05,3.7800000000000004e-05,1831.995254681,7.5600000000000005e-06,1780656369.1964517,,,,,,,,,,,,,,
189,98,7.5600000000000005e-06,3.7800000000000004e-05,3.7800000000000004e-05,1834.281092387,7.5600000000000005e-06,1780656371.4823432,,,,,,,,,,,,,,
189,99,7.5600000000000005e-06,3.7800000000000004e-05,3.7800000000000004e-05,1836.568729481,7.5600000000000005e-06,1780656373.7699394,,,,,,,,,,,,,,
189,100,,,,1838.854414437,,1780656376.0555804,3.0,0.14054729044437408,,,,,,,,,,,,
199,101,7.960000000000002e-06,3.9800000000000005e-05,3.9800000000000005e-05,1921.226473732,7.960000000000002e-06,1780656458.4276223,,,,,,,,,,,,,,
199,102,7.960000000000002e-06,3.9800000000000005e-05,3.9800000000000005e-05,1923.516565518,7.960000000000002e-06,1780656460.717885,,,,,,,,,,,,,,
199,103,7.960000000000002e-06,3.9800000000000005e-05,3.9800000000000005e-05,1925.806760128,7.960000000000002e-06,1780656463.0079021,,,,,,,,,,,,,,
199,104,7.960000000000002e-06,3.9800000000000005e-05,3.9800000000000005e-05,1928.095738197,7.960000000000002e-06,1780656465.2968543,,,,,,,,,,,,,,
199,105,,,,1930.383337552,,1780656467.584495,3.0,0.13596051931381226,,,,,,,,,,,,
209,106,8.36e-06,4.18e-05,4.18e-05,2012.726095303,8.36e-06,1780656549.9272363,,,,,,,,,,,,,,
209,107,8.36e-06,4.18e-05,4.18e-05,2015.012889323,8.36e-06,1780656552.2141552,,,,,,,,,,,,,,
209,108,8.36e-06,4.18e-05,4.18e-05,2017.300820333,8.36e-06,1780656554.5019584,,,,,,,,,,,,,,
209,109,8.36e-06,4.18e-05,4.18e-05,2019.586101085,8.36e-06,1780656556.7872403,,,,,,,,,,,,,,
209,110,,,,2021.871746756,,1780656559.0729203,3.0,0.12768372893333435,,,,,,,,,,,,
219,111,8.76e-06,4.38e-05,4.38e-05,2104.220417478,8.76e-06,1780656641.4216886,,,,,,,,,,,,,,
219,112,8.76e-06,4.38e-05,4.38e-05,2106.508727846,8.76e-06,1780656643.7098873,,,,,,,,,,,,,,
