epoch,validation/loss,validation/cpg_sites_accuracy,train/cpg_sites_cross_entropy_loss_epoch,train/cpg_sites_perplexity_step,lr-AdamW/pg2,train/cpg_sites_accuracy_epoch,_timestamp,validation/cpg_sites_perplexity,_runtime,validation/cpg_sites_cross_entropy_loss,_step,train/cpg_sites_cross_entropy_loss_step,train/cpg_sites_perplexity_epoch,train/cpg_sites_accuracy_step,lr-AdamW/pg1,trainer/global_step,train/loss_epoch,train/loss_step
,,,,,9.225e-06,,1769778079.511848,,1388.765240375,,191,,,,9.225e-06,369,,
4.0,,,,7678.0966796875,,,1769778080.3736799,,1389.626891855,,192,8.946126937866211,,0.0017785339150577784,,369,,8.946126937866211
,,,,,9.475e-06,,1769778111.3808107,,1420.634217766,,193,,,,9.475e-06,379,,
,,,,,9.475e-06,,1769778112.2422957,,1421.495635172,,194,,,,9.475e-06,379,,
,,,,,9.475e-06,,1769778113.1042416,,1422.357667031,,195,,,,9.475e-06,379,,
,,,,,9.475e-06,,1769778113.9657366,,1423.219123025,,196,,,,9.475e-06,379,,
4.0,,,,7666.08203125,,,1769778114.8274121,,1424.080597586,,197,8.944561004638672,,0.0017410818254575133,,379,,8.944561004638672
,,,,,9.725000000000001e-06,,1769778145.8345888,,1455.087959218,,198,,,,9.725000000000001e-06,389,,
,,,,,9.725000000000001e-06,,1769778146.6958377,,1455.949243701,,199,,,,9.725000000000001e-06,389,,
,,,,,9.725000000000001e-06,,1769778147.5580847,,1456.811533255,,200,,,,9.725000000000001e-06,389,,
,,,,,9.725000000000001e-06,,1769778148.419919,,1457.673307404,,201,,,,9.725000000000001e-06,389,,
4.0,,,,7649.82568359375,,,1769778149.28162,,1458.534835814,,202,8.942438125610352,,0.0021370011381804943,,389,,8.942438125610352
,,,,,9.975e-06,,1769778180.2813022,,1489.53467689,,203,,,,9.975e-06,399,,
,,,,,9.975e-06,,1769778181.1421745,,1490.395525976,,204,,,,9.975e-06,399,,
,,,,,9.975e-06,,1769778182.0041873,,1491.25762483,,205,,,,9.975e-06,399,,
,,,,,9.975e-06,,1769778182.865779,,1492.119158135,,206,,,,9.975e-06,399,,
4.0,,,,7628.181640625,,,1769778183.727691,,1492.980893764,,207,8.939604759216309,,0.0025557621847838163,,399,,8.939604759216309
,,,,,1.0225e-05,,1769778214.7316139,,1523.985013951,,208,,,,1.0225e-05,409,,
,,,,,1.0225e-05,,1769778215.5929682,,1524.846327903,,209,,,,1.0225e-05,409,,
,,,,,1.0225e-05,,1769778216.4547772,,1525.708221897,,210,,,,1.0225e-05,409,,
,,,,,1.0225e-05,,1769778217.3167813,,1526.570144123,,211,,,,1.0225e-05,409,,
4.0,,,,7569.388671875,,,1769778218.1786242,,1527.431797997,,212,8.931867599487305,,0.0029951767064630985,,409,,8.931867599487305
,,,,,1.0475e-05,,1769778249.1875463,,1558.440981373,,213,,,,1.0475e-05,419,,
,,,,,1.0475e-05,,1769778250.0488439,,1559.302209623,,214,,,,1.0475e-05,419,,
,,,,,1.0475e-05,,1769778250.9111655,,1560.164551838,,215,,,,1.0475e-05,419,,
,,,,,1.0475e-05,,1769778251.7722785,,1561.025638536,,216,,,,1.0475e-05,419,,
4.0,,,,7510.61181640625,,,1769778252.633891,,1561.88708125,,217,8.924072265625,,0.0038699086289852858,,419,,8.924072265625
,,,,,1.0725e-05,,1769778283.6343954,,1592.887814827,,218,,,,1.0725e-05,429,,
,,,,,1.0725e-05,,1769778284.4947042,,1593.747880027,,219,,,,1.0725e-05,429,,
,,,,,1.0725e-05,,1769778285.3546917,,1594.607878817,,220,,,,1.0725e-05,429,,
4.0,,,,7527.17578125,,,1769778285.95133,,1595.204504426,,221,8.926275253295898,,0.003994977567344904,,429,,8.926275253295898
